,NDC Description,Potential Dispensed Days,Risk Factor,Rolling Window Days,Mean of Rolling Sum,STD. Of Rolling Sum,Actual Dispensed Days,Recommended Min Level,Recommended Max Level
20,Aquaphor ointment [396g],92,1,5,436.9655172413793,122.73388249106291,8,436.9655172413793,559.6993997324422
21,dutasteride 0.5 mg capsule,92,1,5,90.0,0.0,2,90.0,90.0
22,sildenafil 50 mg tablet,92,1,5,35.15151515151515,21.32332953092416,20,35.15151515151515,56.47484468243931
23,lisinopril 20 mg tablet,92,1,5,919.6022727272727,400.20053995301316,75,919.6022727272727,1319.802812680286
24,gabapentin 100 mg capsule,92,1,5,418.3536585365854,319.169113111259,35,418.3536585365854,737.5227716478444
25,gabapentin 300 mg capsule,92,1,5,974.5402298850574,624.2263268107711,53,974.5402298850574,1598.7665566958285
26,meloxicam 7.5 mg tablet,92,1,5,248.57142857142858,245.03327955504508,35,248.57142857142858,493.60470812647367
27,torsemide 10 mg tablet,92,1,5,40.0,24.49489742783178,2,40.0,64.49489742783177
28,tamsulosin 0.4 mg capsule,92,1,5,465.34090909090907,188.29268525012935,57,465.34090909090907,653.6335943410384
29,cetirizine 10 mg tablet,92,1,5,1684.8295454545455,489.36614460427114,80,1684.8295454545455,2174.1956900588166
30,omeprazole DR 40 mg capsule,92,1,5,688.8636363636364,322.18803611634917,70,688.8636363636364,1011.0516724799855
31,atorvastatin 10 mg tablet,92,1,5,517.4431818181819,194.0864162286282,57,517.4431818181819,711.5295980468101
32,losartan 50 mg tablet,92,1,5,506.25,259.39169555739045,53,506.25,765.6416955573904
33,Trelegy Ellipta 100 mcg-62.5 mcg-25 mcg inh (60EA),92,1,5,143.1818181818182,106.8746870475,13,143.1818181818182,250.0565052293182
34,simvastatin 20 mg tablet,92,1,5,310.90909090909093,185.75224387311206,11,310.90909090909093,496.66133478220297
35,Eliquis 5 mg tablet,92,1,5,957.5862068965517,424.6392874649035,58,957.5862068965517,1382.2254943614553
36,sertraline 25 mg tablet,92,1,5,125.8,81.67188804783017,26,125.8,207.47188804783016
37,lisinopril 5 mg tablet,92,1,5,310.48192771084337,167.38959677481074,42,310.48192771084337,477.8715244856541
38,pantoprazole EC 20 mg tablet,92,1,5,248.8235294117647,122.55403208947132,27,248.8235294117647,371.377561501236
39,furosemide 20 mg tablet,92,1,5,281.7469879518072,169.51227334322328,36,281.7469879518072,451.2592612950305
40,sertraline 100 mg tablet,92,1,5,502.67045454545456,236.87834413814642,56,502.67045454545456,739.548798683601
41,glyBURIDE 5 mg tablet,92,1,5,178.46153846153845,100.19818418195179,9,178.46153846153845,278.6597226434902
42,lisinopril 10 mg tablet,92,1,5,801.9318181818181,313.9152384115831,71,801.9318181818181,1115.8470565934012
43,mirtazapine 15 mg tablet,92,1,5,192.14285714285714,160.24877637495499,4,192.14285714285714,352.3916335178121
44,hydrochlorothiazide-triamterene 25 mg-37.5 mg tab,92,1,5,116.54545454545455,64.14590376397364,18,116.54545454545455,180.69135830942818
45,sildenafil 100 mg tablet,92,1,5,52.109756097560975,33.292569926118,34,52.109756097560975,85.40232602367897
46,amitriptyline 50 mg tablet,92,1,5,123.88888888888889,64.38143019115931,17,123.88888888888889,188.27031908004818
47,pantoprazole EC 40 mg tablet,92,1,5,611.25,314.8501285505151,64,611.25,926.1001285505151
48,carvedilol 3.125 mg tablet,92,1,5,312.75,214.71492728732207,13,312.75,527.4649272873221
49,Synthroid 50 mcg tablet,92,1,5,357.04651162790697,186.22458970613286,48,357.04651162790697,543.2711013340398
50,glipiZIDE ER 5 mg/24 hour tablet,92,1,5,203.41463414634146,116.86765497984376,11,203.41463414634146,320.2822891261852
51,spironolactone 25 mg tablet,92,1,5,590.2873563218391,265.84437255596345,58,590.2873563218391,856.1317288778025
52,ferrous sulfate 325 mg tablet,92,1,5,266.2,198.62881312993179,31,266.2,464.82881312993175
53,ondansetron 4 mg ODT,92,1,5,57.093023255813954,36.836244270132426,36,57.093023255813954,93.92926752594639
54,cyproheptadine 2 mg/5 mL syrup,92,1,5,300.0,0.0,2,300.0,300.0
55,lisinopril 40 mg tablet,92,1,5,465.85227272727275,274.3647014833774,48,465.85227272727275,740.2169742106502
56,ketoconazole topical 2% shampoo [120mL],92,1,5,170.2325581395349,111.81379870747328,11,170.2325581395349,282.04635684700816
57,clobetasol 0.05% topical solution [25mL],92,1,5,58.55263157894737,24.15904214185548,10,58.55263157894737,82.71167372080285
58,SUMAtriptan 100 mg tablet,92,1,5,28.609756097560975,16.877319172161922,12,28.609756097560975,45.487075269722894
59,metoprolol succinate ER 25 mg/24 hour tablet,92,1,5,380.28409090909093,180.1011177576498,55,380.28409090909093,560.3852086667407
60,Xarelto 10 mg tablet,92,1,5,84.8076923076923,26.47567824365484,6,84.8076923076923,111.28337055134715
61,finasteride 5 mg tablet,92,1,5,247.2972972972973,140.69589567961282,32,247.2972972972973,387.9931929769101
62,montelukast 10 mg tablet,92,1,5,1067.0454545454545,365.27161706321345,73,1067.0454545454545,1432.317071608668
63,ezetimibe 10 mg tablet,92,1,5,291.1764705882353,152.53736282899195,39,291.1764705882353,443.71383341722725
64,cyclobenzaprine 10 mg tablet,92,1,5,297.95454545454544,162.9981953987199,51,297.95454545454544,460.95274085326537
65,fluticasone 50 mcg/inh nasal spray [16g],92,1,5,560.0,171.0914254487026,82,560.0,731.0914254487026
66,Flovent 220 mcg inhaler (12g),92,1,5,18.20689655172414,9.416472308615171,7,18.20689655172414,27.623368860339312
67,DULoxetine DR 30 mg capsule,92,1,5,170.95238095238096,131.61177373690816,23,170.95238095238096,302.5641546892891
68,valACYclovir 1 g tablet,92,1,5,91.70114942528735,85.67205114563717,37,91.70114942528735,177.37320057092452
69,ketorolac 0.5% eye drops [10mL],92,1,5,13.333333333333334,5.0,3,13.333333333333334,18.333333333333336
70,ofloxacin 0.3% eye drops [5mL],92,1,5,8.39622641509434,4.679495463605475,14,8.39622641509434,13.075721878699815
71,prednisoLONE acetate 1% eye drops (suspension) [5mL],92,1,5,7.093023255813954,2.723914842808943,11,7.093023255813954,9.816938098622897
72,rizatriptan 10 mg ODT,92,1,5,27.666666666666668,25.321991470508802,14,27.666666666666668,52.98865813717547
73,benazepril 20 mg tablet,92,1,5,153.52941176470588,42.2701396482476,4,153.52941176470588,195.7995514129535
74,bumetanide 1 mg tablet,92,1,5,138.1818181818182,93.35599021536275,9,138.1818181818182,231.53780839718092
75,atenolol 25 mg tablet,92,1,5,208.3783783783784,173.38117819059536,26,208.3783783783784,381.7595565689737
76,Larissia (levonorgestrel/EE) 0.1/0.02 tablet (28),92,1,5,268.0487804878049,125.685076010749,38,268.0487804878049,393.7338564985539
77,pregabalin 100 mg capsule,92,1,5,211.11111111111111,102.93186364512748,16,211.11111111111111,314.0429747562386
78,methIMAzole 5 mg tablet,92,1,5,100.80645161290323,65.188147877171,8,100.80645161290323,165.99459949007422
79,Nora-BE (norethindrone) 0.35 tablet (28),92,1,5,149.21951219512195,84.86605632294038,31,149.21951219512195,234.08556851806233
80,atorvastatin 20 mg tablet,92,1,5,922.3295454545455,330.4307088784363,71,922.3295454545455,1252.7602543329817
81,venlafaxine ER 75 mg/24 hour capsule,92,1,5,183.75,116.41724392693853,31,183.75,300.1672439269385
82,naproxen 500 mg tablet,92,1,5,297.4431818181818,166.48805541736692,54,297.4431818181818,463.93123723554874
83,olopatadine 0.1% eye drops [5mL],92,1,5,21.964285714285715,14.685823365320164,36,21.964285714285715,36.65010907960588
84,Onfi 10 mg tablet,92,1,5,105.0,0.0,2,105.0,105.0
85,doxazosin 8 mg tablet,92,1,5,96.66666666666667,24.01922307076307,6,96.66666666666667,120.68588973742973
86,atenolol 50 mg tablet,92,1,5,176.1818181818182,101.82575729394233,18,176.1818181818182,278.0075754757605
87,Enbrel 25 mg Syringe Recon Kit [4EA],92,1,5,4.0,0.0,4,4.0,4.0
88,rosuvastatin 5 mg tablet,92,1,5,166.875,88.67108671781524,22,166.875,255.54608671781523
89,Depo-Testosterone  200 mg/mL inj-vial (1mL),92,1,5,10.853658536585366,5.931108562527566,10,10.853658536585366,16.784767099112933
90,telmisartan 40 mg tablet,92,1,5,214.1095890410959,120.65602642358468,27,214.1095890410959,334.76561546468054
91,NovoLOG FlexPen aspart 100 units/mL [3mL],92,1,5,154.23529411764707,87.02252678512171,44,154.23529411764707,241.2578209027688
92,telmisartan 80 mg tablet,92,1,5,285.56962025316454,160.11011303477304,36,285.56962025316454,445.67973328793755
93,ketorolac 0.5% eye drops [5mL],92,1,5,7.111111111111111,2.9172077420199285,12,7.111111111111111,10.02831885313104
94,glipiZIDE 5 mg tablet,92,1,5,331.54411764705884,229.26758360102846,24,331.54411764705884,560.8117012480873
95,fexofenadine 180 mg tablet,92,1,5,745.2272727272727,329.51018079514466,65,745.2272727272727,1074.7374535224174
96,Janumet XR 1000 mg-100 mg tablet,92,1,5,90.0,0.0,4,90.0,90.0
97,amLODIPine 10 mg tablet,92,1,5,423.75,180.23332578670886,53,423.75,603.9833257867089
98,meclizine 25 mg chew tablet,92,1,5,74.64912280701755,35.830200364292736,16,74.64912280701755,110.47932317131028
99,citalopram 20 mg tablet,92,1,5,211.31944444444446,120.73481899599996,34,211.31944444444446,332.0542634404444
100,diclofenac sodium EC 75 mg tablet,92,1,5,200.80645161290323,134.0087883966212,19,200.80645161290323,334.8152400095245
101,prednisoLONE 15 mg/5 mL oral solution [237mL],92,1,5,24.88,13.276922334135525,7,24.88,38.15692233413552
102,predniSONE 5 mg tablet,92,1,5,93.11904761904762,48.98641045052133,12,93.11904761904762,142.10545806956895
103,benzonatate 100 mg capsule,92,1,5,114.15094339622641,118.58839549960102,19,114.15094339622641,232.73933889582742
104,Restasis 0.05% (PF) eye drops UD [30EA],92,1,5,140.19230769230768,99.71509187435628,16,140.19230769230768,239.90739956666397
105,liothyronine 5 mcg tablet,92,1,5,360.8333333333333,269.64692335874366,17,360.8333333333333,630.480256692077
106,Synthroid 75 mcg tablet,92,1,5,348.3863636363636,154.67477424882094,45,348.3863636363636,503.06113788518456
107,valsartan 160 mg tablet,92,1,5,90.0,0.0,2,90.0,90.0
108,glipiZIDE ER 10 mg/24 hour tablet,92,1,5,198.0,100.09995004993759,16,198.0,298.0999500499376
109,Freestyle 28g lancets [100EA],92,1,5,779.5454545454545,492.7425223303086,43,779.5454545454545,1272.287976875763
110,esomeprazole DR 20 mg capsule,92,1,5,74.21052631578948,27.144835701531846,4,74.21052631578948,101.35536201732133
111,predniSONE 10 mg tablet,92,1,5,80.57692307692308,55.04199685510954,12,80.57692307692308,135.6189199320326
112,Jardiance 25 mg tablet,92,1,5,179.62962962962962,77.79692224703439,32,179.62962962962962,257.426551876664
113,traZODone 50 mg tablet,92,1,5,247.1264367816092,166.08773281204185,36,247.1264367816092,413.21416959365104
114,donepezil 10 mg tablet,92,1,5,112.5,47.844857976407546,5,112.5,160.34485797640755
115,prenatal multivitamins w/Folic Acid 0.8 mg tablet,92,1,5,385.22727272727275,187.87362634902738,45,385.22727272727275,573.1008990763002
116,acyclovir 400 mg tablet,92,1,5,118.80952380952381,73.9545800277764,10,118.80952380952381,192.7641038373002
117,hydrOXYzine pamoate 25 mg capsule,92,1,5,83.33333333333333,47.12893340227809,14,83.33333333333333,130.46226673561142
118,OLANZapine 5 mg tablet,92,1,5,79.64285714285714,48.95062840417905,7,79.64285714285714,128.59348554703618
119,FLUoxetine 10 mg capsule,92,1,5,204.98611111111111,144.33670465763066,30,204.98611111111111,349.32281576874175
120,sulfamethoxazole-trimethoprim 800 mg-160 mg tablet,92,1,5,39.32835820895522,21.549371121880334,20,39.32835820895522,60.87772933083556
121,amoxicillin 500 mg capsule,92,1,5,127.95294117647059,180.3974386024972,40,127.95294117647059,308.3503797789678
122,Qbrexza 2.4% topical pad [30EA],92,1,5,60.0,0.0,1,60.0,60.0
123,Lo Loestrin Fe (norethin/EE) 1/10 biphase tab (28),92,1,5,56.0,29.514591494904874,2,56.0,85.51459149490488
124,acetaminophen 325 mg tablet,92,1,5,298.5365853658537,149.07676331687588,40,298.5365853658537,447.61334868272957
125,doxepin 10 mg capsule,92,1,5,69.0,28.32618720117362,14,69.0,97.32618720117362
126,labetalol 200 mg tablet,92,1,5,60.0,0.0,1,60.0,60.0
127,hydrocodone-acetaminophen 10 mg-325 mg tablet,92,1,5,329.8767123287671,257.3067206233253,30,329.8767123287671,587.1834329520924
128,Janumet XR 1000 mg-50 mg tablet,92,1,5,162.0,77.91603872701108,10,162.0,239.91603872701108
129,ondansetron 4 mg tablet,92,1,5,75.73863636363636,57.18642518732334,37,75.73863636363636,132.9250615509597
130,pregabalin 150 mg capsule,92,1,5,222.98507462686567,129.95354560873756,25,222.98507462686567,352.93862023560325
131,amitriptyline 25 mg tablet,92,1,5,177.32876712328766,169.10319456166079,25,177.32876712328766,346.4319616849484
132,metroNIDAZOLE 500 mg tablet,92,1,5,25.1,14.223076965528476,15,25.1,39.32307696552848
133,buPROPion XL 300 mg/24 hour tablet,92,1,5,184.23529411764707,89.46902191458754,38,184.23529411764707,273.7043160322346
134,nitrofurantoin monohydrate 100 mg capsule,92,1,5,23.698630136986303,12.191396022863888,26,23.698630136986303,35.890026159850194
135,Previfem (norgestimate/EE) 0.25/0.035 tablet (28),92,1,5,148.75,64.95831185060933,29,148.75,213.70831185060933
136,Seroquel 100 mg tablet,92,1,5,45.0,34.11441196105065,6,45.0,79.11441196105065
137,Synthroid 100 mcg tablet,92,1,5,316.8235294117647,143.73389570003746,47,316.8235294117647,460.55742511180216
138,clonazePAM 0.5 mg tablet,92,1,5,67.84313725490196,30.10406786400776,14,67.84313725490196,97.94720511890972
139,Flovent 110 mcg inhaler (12g),92,1,5,41.53846153846154,27.988321740435847,22,41.53846153846154,69.52678327889738
140,metFORMIN 1000 mg tablet,92,1,5,1274.9431818181818,511.31647437225445,66,1274.9431818181818,1786.259656190436
141,Prempro 0.625 mg-2.5 mg tablet (28),92,1,5,66.76923076923077,14.178351139171335,3,66.76923076923077,80.94758190840211
142,eletriptan 40 mg tablet,92,1,5,16.5,7.429670248402684,5,16.5,23.929670248402683
143,clopidogrel 75 mg tablet,92,1,5,277.0886075949367,146.73805283770275,33,277.0886075949367,423.82666043263947
144,metoprolol succinate ER 100 mg/24 hour tablet,92,1,5,264.6551724137931,155.86740247135575,38,264.6551724137931,420.52257488514886
145,Bydureon BCise 2 mg/0.85 mL injection-pen,92,1,5,18.082352941176485,13.089264744080022,31,18.082352941176485,31.171617685256507
146,busPIRone 5 mg tablet,92,1,5,153.125,107.23123254930232,14,153.125,260.3562325493023
147,Advair Diskus 500-50 mcg inhaler (60EA),92,1,5,265.0632911392405,149.33934355225784,24,265.0632911392405,414.40263469149835
148,Linzess 145 mcg capsule,92,1,5,96.7741935483871,46.288018375831236,8,96.7741935483871,143.06221192421833
149,Humira (CF) 40 mg/0.4 mL [2PENS],92,1,5,3.076923076923077,1.5792172508892097,9,3.076923076923077,4.656140327812286
150,traMADol 50 mg tablet,92,1,5,339.8863636363636,183.3061274579668,51,339.8863636363636,523.1924910943304
151,Synthroid 25 mcg tablet,92,1,5,168.54166666666666,125.60231646513705,24,168.54166666666666,294.1439831318037
152,clotrimazole 1% cream [28g],92,1,5,38.440677966101696,15.510031444020557,16,38.440677966101696,53.95070941012225
153,ethynodiol/EE 1/35 tablet (28),92,1,5,84.0,0.0,3,84.0,84.0
154,fluconazole 150 mg tablet,92,1,5,5.72,4.257238733340317,18,5.72,9.977238733340318
155,freestyle lite (glucose) test strip [50],92,1,5,1906.25,828.1266943162021,71,1906.25,2734.3766943162022
156,prednisoLONE acetate 1% eye drops (suspension) [10mL],92,1,5,14.0,5.0,5,14.0,19.0
157,"nystatin 100,000 units/g cream [15g]",92,1,5,30.0,0.0,1,30.0,30.0
158,risperiDONE 2 mg tablet,92,1,5,66.0,7.5,5,66.0,73.5
159,guanFACINE ER 1 mg tablet,92,1,5,180.0,0.0,1,180.0,180.0
160,Proair 90 mcg inhaler [8.5g],92,1,5,170.7215909090909,66.7636015654611,62,170.7215909090909,237.485192474552
161,Trulicity Pen 1.5 mg/0.5 mL [4EA],92,1,5,15.89873417721519,10.362153692470551,34,15.89873417721519,26.26088786968574
162,cyclobenzaprine 5 mg tablet,92,1,5,75.6896551724138,54.99032606369173,10,75.6896551724138,130.67998123610553
163,amoxicillin-clav 875 mg-125 mg tablet,92,1,5,41.84415584415584,25.843183431422098,29,41.84415584415584,67.68733927557794
164,hydroCHLOROthiazide 12.5 mg capsule,92,1,5,573.2954545454545,205.46399181638708,64,573.2954545454545,778.7594463618416
165,Advair HFA 115-21 mcg inhaler (12g),92,1,5,26.693877551020407,15.349001164072341,12,26.693877551020407,42.04287871509275
166,Trulicity Pen 3 mg/0.5 mL [4EA],92,1,5,6.615384615384615,3.5881045033729864,10,6.615384615384615,10.203489118757602
167,polymyxin B-trimethoprim 10000-1/mL eye drops [10mL],92,1,5,12.0,4.08248290463863,6,12.0,16.08248290463863
168,Gianvi (drospirenone/EE) 3/0.02 tablet (28),92,1,5,202.53333333333333,87.08606042819915,24,202.53333333333333,289.6193937615325
169,desonide 0.05% ointment [15g],92,1,5,46.646341463414636,36.742807123827,31,46.646341463414636,83.38914858724164
170,amphetamine-dextroamphetamine 10 mg tablet,92,1,5,87.08333333333333,57.67880001899488,12,87.08333333333333,144.7621333523282
171,amitriptyline 10 mg tablet,92,1,5,82.3,30.95767354018077,12,82.3,113.25767354018078
172,diclofenac 1% gel [100g],92,1,5,719.3181818181819,471.9385198965789,53,719.3181818181819,1191.2567017147608
173,hydrocodone-acetaminophen 5 mg-325 mg tablet,92,1,5,136.57471264367817,68.53426102694543,55,136.57471264367817,205.10897367062358
174,lidocaine 5% patch,92,1,5,122.58823529411765,66.95597240647291,42,122.58823529411765,189.54420770059056
175,Pradaxa 150 mg capsule,92,1,5,198.46153846153845,155.66235649883126,5,198.46153846153845,354.12389496036974
176,loratadine 10 mg tablet,92,1,5,548.75,251.47295963042896,59,548.75,800.2229596304289
177,rosuvastatin 10 mg tablet,92,1,5,290.4,146.15282634505778,34,290.4,436.5528263450577
178,telmisartan 20 mg tablet,92,1,5,162.56756756756758,90.61526090604558,24,162.56756756756758,253.18282847361314
179,hydrochlorothiazide-telmisartan 12.5 mg-80 mg tab,92,1,5,126.22641509433963,79.45067204765726,14,126.22641509433963,205.67708714199688
180,metoprolol succinate ER 50 mg/24 hour tablet,92,1,5,408.7931034482759,174.70733920041584,45,408.7931034482759,583.5004426486917
181,escitalopram 10 mg tablet,92,1,5,160.58823529411765,93.39500013608959,33,160.58823529411765,253.98323543020723
182,flecainide 50 mg tablet,92,1,5,135.0,47.43416490252569,2,135.0,182.43416490252568
183,pseudoephedrine ER 120 mg tablet,92,1,5,40.853658536585364,25.733737259936508,38,40.853658536585364,66.58739579652188
184,Jardiance 10 mg Tab,92,1,5,200.50632911392404,134.46855255447426,30,200.50632911392404,334.9748816683983
185,cholecalciferol 10 mcg (400 units)/mL liquid [50mL],92,1,5,160.24096385542168,106.99869960019518,34,160.24096385542168,267.2396634556169
186,azelastine 137 mcg/inh nasal spray [30mL],92,1,5,148.19277108433735,86.68902339035658,38,148.19277108433735,234.88179447469395
187,acetaminophen/butalbital/caffeine 325-50-40 mg tab,92,1,5,88.25,70.69934537106717,11,88.25,158.94934537106718
188,amitriptyline 100 mg tablet,92,1,5,66.0,30.0,5,66.0,96.0
189,Topamax 100 mg tablet,92,1,5,190.9090909090909,88.25582648806201,3,190.9090909090909,279.1649173971529
190,doxycycline hyclate 50 mg capsule,92,1,5,75.0,27.255405754769875,3,75.0,102.25540575476987
191,docusate sodium 100 mg capsule,92,1,5,389.18918918918916,263.21904392920516,28,389.18918918918916,652.4082331183943
192,norgestimate triphasic/EE 25 mcg tablet (28),92,1,5,116.2,67.57564499588717,17,116.2,183.77564499588718
193,ibuprofen 400 mg tablet,92,1,5,71.4,38.66179889603627,12,71.4,110.06179889603627
194,Freestyle Lite Monitor,92,1,5,1.8392857142857142,0.8263124153685505,16,1.8392857142857142,2.665598129654265
195,valACYclovir 500 mg tablet,92,1,5,160.54794520547946,104.68325785380314,23,160.54794520547946,265.2312030592826
196,amiodarone (Taro) 200 mg tablet,92,1,5,73.07692307692308,26.695539362641615,8,73.07692307692308,99.77246243956469
197,buPROPion XL 150 mg/24 hour tablet,92,1,5,182.8048780487805,118.11141831510068,32,182.8048780487805,300.9162963638812
198,triamcinolone 0.1% ointment [15g],92,1,5,43.26923076923077,29.18706246583604,6,43.26923076923077,72.45629323506681
199,mupirocin 2% ointment [22g],92,1,5,55.0,37.07505900197598,31,55.0,92.07505900197597
200,propranolol 40 mg tablet,92,1,5,140.0,74.55128930368747,10,140.0,214.55128930368747
201,ciprofloxacin 500 mg tablet,92,1,5,20.17910447761194,13.081244233674418,21,20.17910447761194,33.260348711286355
202,reservoir omnipod dash,92,1,5,10.0,0.0,1,10.0,10.0
203,warfarin (Exelan) 2 mg tablet,92,1,5,93.33333333333333,4.8795003647426665,3,93.33333333333333,98.212833698076
204,Janumet 1000 mg-50 mg tablet,92,1,5,413.013698630137,170.91814912006907,28,413.013698630137,583.9318477502061
205,EpiPen JR 0.15 mg Kit [2EA],92,1,5,2.6666666666666665,0.9589266029707684,7,2.6666666666666665,3.625593269637435
206,Synthroid 150 mcg tablet,92,1,5,170.45454545454547,93.56909118493576,21,170.45454545454547,264.0236366394812
207,losartan 25 mg tablet,92,1,5,282.65060240963857,143.8650649753594,38,282.65060240963857,426.515667384998
208,Xarelto 20 mg tablet,92,1,5,137.82608695652175,71.90413481560402,21,137.82608695652175,209.7302217721258
209,Myrbetriq ER 25 mg tablet,92,1,5,81.17647058823529,21.569437677214253,7,81.17647058823529,102.74590826544954
210,Vivelle-Dot 0.0375 mg/24 hours twice weekly patch [8EA],92,1,5,24.0,0.0,2,24.0,24.0
211,traZODone 100 mg tablet,92,1,5,227.91666666666666,184.93232488868034,28,227.91666666666666,412.84899155534697
212,Lotemax 0.5% eye drops (suspension) [5mL],92,1,5,12.0,8.897565210026093,5,12.0,20.897565210026094
213,pregabalin 75 mg capsule,92,1,5,94.18032786885246,123.35011257888682,17,94.18032786885246,217.5304404477393
214,Symbicort 160 mcg-4.5 mcg inhaler [10.2g],92,1,5,30.176470588235286,14.390068275351272,18,30.176470588235286,44.56653886358656
215,azithromycin 500 mg tablet,92,1,5,16.022727272727273,17.6865323041897,11,16.022727272727273,33.70925957691698
216,oxyCODONE-acetaminophen 10 mg-325 mg tablet,92,1,5,157.5735294117647,69.05271967721487,18,157.5735294117647,226.62624908897956
217,Compound W One Step 40% topical pad [20EA],92,1,5,48.148148148148145,22.367049431807057,7,48.148148148148145,70.5151975799552
218,nystatin topical 100000 units/g Powder [60g],92,1,5,106.0,53.85805097821879,8,106.0,159.85805097821878
219,Niaspan ER 1000 mg tablet,92,1,5,142.10526315789474,75.39370349250518,7,142.10526315789474,217.49896665039992
220,felodipine ER 10 mg/24 hour tablet,92,1,5,136.60714285714286,64.19506595920356,16,136.60714285714286,200.80220881634642
221,amoxicillin-clav 500 mg-125 mg tablet,92,1,5,32.5,23.916521486202797,4,32.5,56.4165214862028
222,azithromycin 250 mg tablet,92,1,5,36.70454545454545,42.1931216401687,11,36.70454545454545,78.89766709471415
223,venlafaxine ER 150 mg/24 hour capsule,92,1,5,185.53846153846155,128.69575033328084,24,185.53846153846155,314.2342118717424
224,alendronate 35 mg tablet,92,1,5,16.0,5.855400437691199,3,16.0,21.8554004376912
225,Halcion 0.25 mg tablet,92,1,5,12.054054054054054,13.812124194879466,9,12.054054054054054,25.866178248933522
226,EpiPen 0.3 mg auto-injector Kit [2EA],92,1,5,5.147058823529412,3.2473396959612586,23,5.147058823529412,8.394398519490672
227,SUMAtriptan 50 mg tablet,92,1,5,30.873015873015873,25.95435948432709,16,30.873015873015873,56.82737535734296
228,atropine-diphenoxylate 0.025 mg-2.5 mg tablet,92,1,5,170.0,123.58287613066493,3,170.0,293.58287613066494
229,benzoyl peroxide-clindamycin 5%-1.2% gel [45g],92,1,5,90.0,61.32466294823222,5,90.0,151.32466294823223
230,tretinoin 0.05% cream [20g],92,1,5,55.27272727272727,42.33265727607791,15,55.27272727272727,97.60538454880518
231,estradiol 10 mcg vaginal tablet,92,1,5,32.0,11.710800875382398,4,32.0,43.7108008753824
232,pravastatin 80 mg tablet,92,1,5,158.57142857142858,56.23928469368314,7,158.57142857142858,214.81071326511173
233,Klor-Con chloride ER 10 mEq tablet,92,1,5,180.7246376811594,106.88529916773226,19,180.7246376811594,287.60993684889166
234,Spiriva HandiHaler 18 mcg inhalation cap (90EA),92,1,5,190.94594594594594,104.22800242827651,26,190.94594594594594,295.17394837422245
235,folic acid 1 mg tablet,92,1,5,444.6875,248.83544426545188,42,444.6875,693.5229442654519
236,PARoxetine 20 mg tablet,92,1,5,235.71428571428572,208.4336808271059,15,235.71428571428572,444.1479665413916
237,oxyCODONE ER 20 mg/12 hour tablet,92,1,5,85.0,30.216609311120095,5,85.0,115.2166093111201
238,propranolol ER 60 mg/24 hour capsule,92,1,5,111.70212765957447,69.8544806983455,12,111.70212765957447,181.55660835791997
239,Advair Diskus 250-50 mcg inhaler (60EA),92,1,5,344.8192771084337,229.3062785445676,32,344.8192771084337,574.1255556530014
